Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
Alice in Wonderland,Wii,2010,Adventure,Etranges Libellules,0.25,0.21,0.0,0.05,0.51,69.0,18,7.4,13,Etranges Libellules,E10+
Ratatouille,PS3,2007,Action,Heavy Iron Studios,0.09,0.32,0.0,0.1,0.51,55.0,8,4.8,4,Heavy Iron Studios,E
"SpongeBob SquarePants: Lights, Camera, Pants!",GBA,2005,Misc,THQ,0.37,0.14,0.0,0.01,0.51,69.0,17,7.1,13,THQ,E
Wrecking Crew,NES,1985,Platform,Nintendo,0.0,0.0,0.51,0.0,0.51,69.0,17,7.7,16,Nintendo,E
Rugrats: Scavenger Hunt,N64,1999,Misc,THQ,0.41,0.09,0.0,0.01,0.51,69.0,17,7.1,13,THQ,E
International Superstar Soccer 2000 (All region sales),N64,1999,Sports,Konami Digital Entertainment,0.01,0.26,0.22,0.02,0.51,75.0,18,7.4,15,Konami Digital Entertainment,E
NBA Live 2004,XB,2003,Sports,EA Sports,0.44,0.04,0.0,0.02,0.51,85.0,19,8.2,11,EA Sports,E
Iron Man,DS,2008,Action,Artificial Mind and Movement,0.35,0.12,0.0,0.05,0.51,56.0,10,7.0,4,Artificial Mind and Movement,E10+
Alien: Isolation,XOne,2014,Shooter,Creative Assembly,0.22,0.24,0.0,0.04,0.51,78.0,24,7.8,27,Creative Assembly,M
Dai-4-Ji Super Robot Taisen S,PS,1996,Strategy,Banpresto,0.0,0.0,0.48,0.03,0.51,73.0,24,7.8,22,Banpresto,E
Pro Evolution Soccer 2010,Wii,2009,Sports,Konami,0.12,0.27,0.06,0.05,0.51,82.0,13,8.4,17,Konami,E
Disney's Kim Possible: Revenge of Monkey Fist,GBA,2002,Platform,Digital Eclipse,0.37,0.14,0.0,0.01,0.51,62.0,4,8.8,8,Digital Eclipse,E
Naruto Shippuden: Clash of Ninja Revolution 3,Wii,2009,Fighting,8ing/Raizing,0.44,0.03,0.0,0.04,0.51,74.0,23,8.1,21,8ing/Raizing,T
Ace Combat Zero: The Belkan War,PS2,2006,Simulation,Namco,0.15,0.12,0.2,0.04,0.51,75.0,45,8.4,55,Namco,T
Dragon Age: Origins,PC,2009,Role-Playing,BioWare,0.0,0.46,0.0,0.05,0.51,91.0,67,8.6,33,BioWare,M
Dynasty Warriors,PSP,2004,Action,Koei,0.18,0.0,0.3,0.02,0.51,62.0,26,7.3,24,Koei,T
NHL 07,PS2,2006,Sports,EA Sports,0.42,0.02,0.0,0.07,0.51,76.0,11,4.6,51,EA Sports,E10+
SoulCalibur: Broken Destiny,PSP,2009,Fighting,Bandai Namco Games,0.12,0.2,0.07,0.12,0.51,80.0,52,6.2,45,Bandai Namco Games,T
Dishonored,PC,2012,Action,Bethesda Softworks,0.26,0.19,0.0,0.06,0.51,68.0,22,7.4,20,Bethesda Softworks,E
Dragon Ball: Raging Blast,X360,2009,Fighting,Spike,0.36,0.08,0.02,0.04,0.51,56.0,29,7.5,33,Spike,T
Naruto Shippuden: Ultimate Ninja Storm 3,X360,2013,Fighting,CyberConnect2,0.29,0.16,0.01,0.05,0.51,70.0,16,7.7,67,CyberConnect2,T
Petz: Hamsterz Life 2,DS,2007,Misc,Ubisoft,0.47,0.0,0.0,0.04,0.51,69.0,17,7.1,13,Ubisoft,E
World Championship Poker,XB,2004,Misc,Coresoft,0.37,0.11,0.0,0.02,0.51,66.0,7,7.1,13,Coresoft,E
The BIGS,PS2,2007,Sports,Blue Castle Games,0.25,0.19,0.0,0.06,0.51,71.0,4,4.8,4,Blue Castle Games,E
WWE 2K16,PS3,2015,Sports,Yuke's,0.22,0.21,0.0,0.08,0.51,75.0,18,6.0,21,Yuke's,T
Final Fantasy,WS,2000,Role-Playing,SquareSoft,0.0,0.0,0.51,0.0,0.51,74.0,30,7.8,33,SquareSoft,E
Dragon Ball Z: Supersonic Warriors,GBA,2004,Fighting,Arc System Works,0.36,0.13,0.0,0.01,0.51,73.0,26,7.0,21,Arc System Works,T
NBA Ballers,XB,2004,Sports,Midway,0.37,0.11,0.0,0.02,0.51,82.0,35,8.1,8,Midway,E
Silent Hill 4: The Room,PS2,2004,Action,KCET,0.25,0.19,0.0,0.06,0.51,76.0,54,7.8,20,KCET,M
River Raid II,2600,1988,Shooter,Activision,0.47,0.03,0.0,0.01,0.51,73.0,32,7.4,27,Activision,E
Capcom Classics Collection,PS2,2005,Misc,Digital Eclipse,0.22,0.17,0.05,0.06,0.51,78.0,30,8.4,5,Digital Eclipse,T
My Word Coach,Wii,2007,Misc,Ubisoft,0.46,0.01,0.0,0.04,0.51,68.0,8,7.1,13,Ubisoft,E
Monopoly Party,PS2,2002,Misc,Infogrames,0.25,0.19,0.0,0.06,0.51,69.0,17,7.1,13,Infogrames,E
Tiger Woods PGA Tour 13,X360,2012,Sports,Electronic Arts,0.29,0.18,0.0,0.04,0.51,77.0,47,5.6,39,Electronic Arts,E
NHL FaceOff 98,PS,1997,Sports,Sony Computer Entertainment,0.28,0.19,0.0,0.03,0.51,75.0,18,7.4,15,Sony Computer Entertainment,E
The Saboteur,X360,2009,Action,Pandemic Studios,0.26,0.2,0.0,0.05,0.51,73.0,69,8.2,141,Pandemic Studios,M
The Adventures of Jimmy Neutron Boy Genius: Attack of the Twonkies,GBA,2004,Action,Tantalus Interactive,0.36,0.13,0.0,0.01,0.5,56.0,4,7.4,20,Tantalus Interactive,E
Sonic Riders,PS2,2006,Racing,Sonic Team,0.42,0.02,0.0,0.07,0.5,55.0,41,7.2,25,Sonic Team,E
Looney Tunes: Back in Action,PS2,2003,Platform,Warthog,0.25,0.19,0.0,0.06,0.5,51.0,9,7.5,6,Warthog,E
Monsters vs. Aliens,DS,2009,Action,Griptonite Games,0.33,0.13,0.0,0.05,0.5,47.0,8,7.4,20,Griptonite Games,E
Midnight Magic,2600,1983,Action,Atari,0.47,0.03,0.0,0.01,0.5,68.0,22,7.4,20,Atari,E
NHL 09,X360,2008,Sports,EA Canada,0.45,0.01,0.0,0.04,0.5,88.0,41,8.4,61,EA Canada,E10+
Bully: Scholarship Edition,Wii,2008,Action,Rockstar Toronto,0.17,0.28,0.0,0.06,0.5,83.0,34,8.4,60,Rockstar Toronto,T
WWE SmackDown vs. RAW 2007,X360,2006,Fighting,Yuke's,0.44,0.03,0.0,0.04,0.5,81.0,50,7.8,46,Yuke's,T
Midnight Club II,XB,2003,Racing,Rockstar San Diego,0.42,0.06,0.0,0.02,0.5,86.0,33,7.6,12,Rockstar San Diego,T
Monster Hunter Freedom 2,PS3,2011,Role-Playing,Capcom,0.0,0.0,0.5,0.0,0.5,74.0,30,7.8,33,Capcom,E
Tiger Woods PGA Tour 07,PS3,2006,Sports,EA Redwood Shores,0.31,0.12,0.0,0.07,0.5,81.0,30,7.4,15,EA Redwood Shores,E
Ratatouille,Wii,2007,Action,Asobo Studio,0.43,0.03,0.0,0.04,0.5,62.0,16,6.7,12,Asobo Studio,E
Avatar: The Last Airbender,GC,2006,Adventure,AWE Games,0.39,0.1,0.0,0.01,0.5,60.0,10,6.5,4,AWE Games,E10+
Blue's Clues: Blue's Big Musical,PS,2001,Misc,THQ,0.28,0.19,0.0,0.03,0.5,69.0,17,7.1,13,THQ,E
The Mummy Returns,PS2,2001,Action,Blitz Games,0.25,0.19,0.0,0.06,0.5,44.0,13,7.0,11,Blitz Games,T
Cars Toon: Mater's Tall Tales,Wii,2010,Misc,Disney Interactive Studios,0.45,0.02,0.0,0.03,0.5,69.0,17,7.1,13,Disney Interactive Studios,E
Paws & Claws: Dogs & Cats Best Friends,DS,2007,Simulation,THQ,0.46,0.01,0.0,0.04,0.5,70.0,17,7.5,19,THQ,E
Hitman: Blood Money,PS2,2006,Action,Io Interactive,0.25,0.19,0.0,0.06,0.5,83.0,36,8.4,104,Io Interactive,M
Disney Sing It,PS2,2008,Misc,Zoe Mode,0.25,0.19,0.0,0.06,0.5,69.0,17,7.1,13,Zoe Mode,E
Chopper Command,2600,1982,Shooter,Activision,0.47,0.03,0.0,0.01,0.5,73.0,32,7.4,27,Activision,E
Lost: Via Domus,PS3,2008,Action,Ubisoft Montreal,0.19,0.22,0.0,0.09,0.5,54.0,30,6.9,28,Ubisoft Montreal,T
Crash: Mind Over Mutant,PS2,2008,Platform,Radical Entertainment,0.25,0.19,0.0,0.06,0.5,73.0,7,6.5,36,Radical Entertainment,E10+
Activision Anthology,PS2,2002,Misc,Contraband Entertainment,0.25,0.19,0.0,0.06,0.5,75.0,13,7.7,6,Contraband Entertainment,E
Picross DS,DS,2007,Puzzle,Jupiter Corporation,0.17,0.02,0.3,0.02,0.5,83.0,33,8.7,36,Jupiter Corporation,E
Pro Evolution Soccer 2012,X360,2011,Action,Konami,0.1,0.34,0.0,0.07,0.5,78.0,36,6.6,55,Konami,E
Final Fantasy II Anniversary Edition,PSP,2007,Role-Playing,TOSE,0.36,0.02,0.07,0.04,0.5,63.0,31,7.1,24,TOSE,T
Test Drive Unlimited,PSP,2007,Racing,Melbourne House,0.08,0.27,0.0,0.15,0.5,80.0,18,7.3,29,Melbourne House,E10+
Harry Potter and the Half-Blood Prince,PSP,2009,Action,EA Bright Light,0.18,0.2,0.0,0.12,0.5,68.0,22,6.6,9,EA Bright Light,E
Unit 13,PSV,2012,Shooter,Zipper Interactive,0.25,0.13,0.04,0.07,0.5,71.0,60,7.5,169,Zipper Interactive,T
R.U.S.E.,PS3,2010,Strategy,Eugen Systems,0.18,0.22,0.02,0.08,0.5,76.0,37,7.3,50,Eugen Systems,T
Theatrhythm: Final Fantasy,3DS,2012,Misc,Indies Zero,0.22,0.07,0.18,0.02,0.5,78.0,60,7.8,113,Indies Zero,E10+
Prince of Persia Trilogy,PS3,2010,Action,Ubisoft,0.17,0.24,0.0,0.09,0.5,68.0,22,7.4,20,Ubisoft,E
Goldeneye 007: Reloaded,X360,2011,Shooter,Eurocom Entertainment Software,0.25,0.2,0.0,0.05,0.5,72.0,56,6.0,96,Eurocom Entertainment Software,T
Rugrats in Paris: The Movie,N64,2000,Action,THQ,0.4,0.09,0.0,0.01,0.5,68.0,22,7.4,20,THQ,E
Hidden Mysteries: Titanic - Secrets of the Fateful Voyage,DS,2009,Adventure,GSP,0.12,0.32,0.0,0.06,0.5,66.0,17,7.6,14,GSP,E
Star Wars: Jedi Starfighter,PS2,2002,Simulation,LucasArts,0.24,0.19,0.0,0.06,0.5,81.0,22,8.3,8,LucasArts,T
Tactics Ogre: The Knight of Lodis,GBA,2001,Role-Playing,Quest,0.13,0.05,0.31,0.01,0.5,88.0,20,9.1,26,Quest,E
"Transformers: War for Cybertron (XBox 360, PS3, & PC Versions)",PS3,2010,Shooter,Activision,0.24,0.18,0.0,0.08,0.5,73.0,32,7.4,27,Activision,E
Super Robot Taisen MX,PS2,2004,Strategy,Banpresto,0.0,0.0,0.5,0.0,0.5,73.0,24,7.8,22,Banpresto,E
Sega Bass Fishing,Wii,2008,Sports,Cavia Inc.,0.45,0.01,0.0,0.04,0.5,59.0,29,6.3,9,Cavia Inc.,E
Bases Loaded '96: Double Header,PS,1995,Sports,Jaleco,0.28,0.19,0.0,0.03,0.5,75.0,18,7.4,15,Jaleco,E
Dead or Alive Ultimate,XB,2004,Fighting,Team Ninja,0.3,0.1,0.08,0.02,0.5,83.0,64,8.7,25,Team Ninja,M
RPG Maker,PS,1997,Role-Playing,Kuusou Kagaku,0.11,0.07,0.29,0.03,0.5,66.0,11,8.2,9,Kuusou Kagaku,E
Major League Baseball 2K12,X360,2012,Sports,Visual Concepts,0.47,0.0,0.0,0.03,0.5,68.0,19,6.4,22,Visual Concepts,E
Rooms: The Main Building,DS,2010,Adventure,HandMade Game,0.1,0.34,0.01,0.05,0.5,56.0,23,7.6,14,HandMade Game,E
Dance Dance Revolution Universe 2,X360,2007,Simulation,Konami,0.46,0.0,0.0,0.04,0.5,65.0,10,7.4,5,Konami,E10+
Burnout Revenge,X360,2006,Racing,Criterion Games,0.42,0.04,0.0,0.04,0.5,89.0,61,8.1,140,Criterion Games,E10+
Star Wars: Clone Wars,PS2,2002,Shooter,LucasArts,0.24,0.19,0.0,0.06,0.5,73.0,32,7.4,27,LucasArts,E
The Adventures of Jimmy Neutron Boy Genius: Attack of the Twonkies,PS2,2004,Action,THQ,0.24,0.19,0.0,0.06,0.5,65.0,8,7.3,8,THQ,E
Madden NFL 13,Wii,2012,Sports,EA Tiburon,0.47,0.0,0.0,0.03,0.5,75.0,18,7.3,4,EA Tiburon,E
Madden NFL 11,PS2,2010,Sports,EA Tiburon,0.41,0.02,0.0,0.07,0.5,75.0,18,7.0,4,EA Tiburon,E
Monster Hunter,PS2,2004,Role-Playing,Capcom,0.11,0.08,0.28,0.03,0.5,68.0,37,8.9,46,Capcom,T
NBA Street Homecourt,X360,2007,Sports,EA Canada,0.45,0.01,0.0,0.04,0.5,80.0,42,8.2,30,EA Canada,E
Tony Hawk's Underground 2,GC,2004,Sports,Neversoft Entertainment,0.38,0.1,0.0,0.01,0.5,82.0,30,8.9,17,Neversoft Entertainment,T
SplashDown: Rides Gone Wild,PS2,2003,Racing,Rainbow Studios,0.24,0.19,0.0,0.06,0.5,80.0,25,8.7,16,Rainbow Studios,E
Super Famista 5,SNES,1996,Sports,Namco Bandai Games,0.0,0.0,0.5,0.0,0.5,75.0,18,7.4,15,Namco Bandai Games,E
Shrek SuperSlam,PS2,2005,Action,Shaba Games,0.24,0.19,0.0,0.06,0.5,67.0,21,9.0,26,Shaba Games,E10+
Rayman Advance,GBA,2001,Platform,Digital Eclipse,0.36,0.13,0.0,0.01,0.5,84.0,17,8.4,16,Digital Eclipse,E
Super Robot Taisen Z,PS2,2008,Strategy,Namco Bandai Games,0.0,0.0,0.5,0.0,0.5,73.0,24,7.8,22,Namco Bandai Games,E
PoPoLoCrois Monogatari,PS,1996,Role-Playing,Sony Computer Entertainment,0.0,0.0,0.46,0.03,0.5,74.0,30,7.8,33,Sony Computer Entertainment,E
Wet,X360,9999,Shooter,Artificial Mind and Movement,0.23,0.21,0.01,0.05,0.5,69.0,79,7.3,86,Artificial Mind and Movement,M
Tomb Raider: Anniversary,PS2,2007,Action,Crystal Dynamics,0.41,0.02,0.0,0.07,0.5,68.0,22,8.2,29,Crystal Dynamics,T
Fantastic 4,PS2,2005,Action,7 Studios,0.41,0.01,0.0,0.07,0.5,64.0,42,7.8,19,7 Studios,T
Men in Black II: Alien Escape,PS2,2002,Shooter,Melbourne House,0.24,0.19,0.0,0.06,0.5,50.0,19,7.3,6,Melbourne House,T
RealSports Tennis,2600,1982,Sports,Atari,0.46,0.03,0.0,0.01,0.5,75.0,18,7.4,15,Atari,E
Nicktoons: Attack of the Toybots,PS2,2007,Platform,Blue Tongue,0.24,0.19,0.0,0.06,0.5,69.0,17,7.7,16,Blue Tongue,E
Raiders of the Lost Ark,2600,1981,Action,Atari,0.46,0.03,0.0,0.01,0.5,68.0,22,7.4,20,Atari,E
Gauntlet,2600,1982,Action,Answer Software,0.46,0.03,0.0,0.01,0.5,68.0,22,7.4,20,Answer Software,E
Alice: Madness Returns,X360,2011,Adventure,Spicy Horse,0.27,0.14,0.04,0.04,0.5,70.0,67,8.1,157,Spicy Horse,M
Madden NFL 07,Wii,2006,Sports,EA Canada,0.46,0.0,0.0,0.04,0.49,81.0,35,8.0,16,EA Canada,E
Spider-Man 2,DS,2004,Action,Vicarious Visions,0.41,0.02,0.03,0.04,0.49,61.0,46,5.0,6,Vicarious Visions,E
Ridge Racer 3D,3DS,2011,Racing,Namco Bandai Games,0.19,0.15,0.12,0.03,0.49,75.0,59,7.2,56,Namco Bandai Games,E
Picross 3D,DS,2009,Puzzle,HAL Labs,0.28,0.03,0.16,0.02,0.49,83.0,35,8.4,33,HAL Labs,E
Dynasty Warriors: Gundam 2,PS3,2008,Action,Omega Force,0.09,0.06,0.32,0.03,0.49,54.0,22,7.0,28,Omega Force,T
Cars Mater-National Championship,Wii,2007,Racing,Incinerator Games,0.46,0.0,0.0,0.04,0.49,69.0,17,6.7,6,Incinerator Games,E
Tony Hawk's Underground 2,GBA,2004,Sports,Vicarious Visions,0.35,0.13,0.0,0.01,0.49,70.0,4,7.4,15,Vicarious Visions,E
Super Monkey Ball 3D,3DS,2011,Action,Sega,0.26,0.15,0.05,0.04,0.49,55.0,57,5.5,31,Sega,E
Euro Truck Simulator,PC,2008,Simulation,SCS Software,0.0,0.42,0.0,0.07,0.49,70.0,17,7.6,35,SCS Software,E
SpongeBob SquarePants: Creature from the Krusty Krab,Wii,2006,Platform,Blitz Games,0.44,0.02,0.0,0.04,0.49,57.0,16,5.6,7,Blitz Games,E
Dragon Quest Heroes: The World's Tree Woe and the Blight Below,PS3,2015,Action,Square Enix,0.0,0.0,0.49,0.0,0.49,68.0,22,7.4,20,Square Enix,E
F1 2012,X360,2012,Racing,Codemasters,0.1,0.34,0.0,0.05,0.49,84.0,42,6.9,56,Codemasters,E
NBA 2K11,Wii,2010,Action,Visual Concepts,0.46,0.01,0.0,0.03,0.49,68.0,22,7.4,20,Visual Concepts,E
Ice Hockey,2600,1980,Sports,Activision,0.46,0.03,0.0,0.01,0.49,75.0,18,7.4,15,Activision,E
Tony Hawk's Project 8,X360,2006,Sports,Neversoft Entertainment,0.44,0.02,0.0,0.04,0.49,81.0,65,7.6,38,Neversoft Entertainment,T
Babysitting Mama,Wii,2010,Simulation,Cooking Mama Limited,0.33,0.12,0.0,0.04,0.49,70.0,17,7.5,19,Cooking Mama Limited,E
Bleach: Soul Resurreccion,PS3,2011,Fighting,Racjin,0.27,0.1,0.07,0.05,0.49,58.0,34,7.2,46,Racjin,T
The Matrix: Path of Neo,PS2,2005,Action,Shiny Entertainment,0.41,0.01,0.0,0.07,0.49,69.0,42,7.9,42,Shiny Entertainment,T
Dragon Ball Z: Supersonic Warriors 2,DS,2005,Fighting,Arc System Works,0.13,0.02,0.32,0.02,0.49,66.0,13,7.6,28,Arc System Works,E10+
Sonic Lost World,3DS,2013,Platform,Dimps Corporation,0.24,0.14,0.07,0.03,0.49,59.0,34,6.5,144,Dimps Corporation,E10+
WWE Wrestlemania X8,GC,2002,Fighting,Yuke's,0.38,0.1,0.0,0.01,0.49,64.0,25,6.9,20,Yuke's,T
Boogie,Wii,2007,Misc,EA Montreal,0.43,0.03,0.0,0.04,0.49,57.0,37,5.3,54,EA Montreal,E10+
The Price is Right,DS,2008,Misc,Ludia Inc.,0.46,0.0,0.0,0.04,0.49,69.0,17,7.1,13,Ludia Inc.,E
Power Rangers: Dino Thunder,GBA,2003,Action,Natsume,0.35,0.13,0.0,0.01,0.49,49.0,5,7.4,20,Natsume,E
GoldenEye: Rogue Agent,XB,2004,Shooter,EA LA,0.34,0.13,0.0,0.02,0.49,61.0,55,7.2,20,EA LA,T
Fire Emblem: Radiant Dawn,Wii,2007,Strategy,Intelligent Systems,0.27,0.03,0.17,0.03,0.49,78.0,36,8.7,180,Intelligent Systems,E10+
The Sims,GC,2003,Simulation,Edge of Reality,0.35,0.13,0.0,0.01,0.49,85.0,16,7.7,22,Edge of Reality,T
Plants vs. Zombies: Garden Warfare 2,PS4,2016,Shooter,PopCap,0.2,0.21,0.0,0.08,0.49,81.0,29,7.7,111,PopCap,E10+
Grandia III,PS2,2005,Role-Playing,Game Arts,0.12,0.1,0.24,0.03,0.49,77.0,38,8.3,53,Game Arts,T
Ace Combat: Assault Horizon,X360,2011,Action,Project Aces,0.3,0.12,0.03,0.04,0.49,78.0,71,6.2,82,Project Aces,T
Mobile Suit Gundam Seed Destiny: Rengou vs. Z.A.F.T. II Plus,PS2,2006,Shooter,Namco Bandai Games,0.0,0.0,0.49,0.0,0.49,73.0,32,7.4,27,Namco Bandai Games,E
Mario & Wario,SNES,1993,Puzzle,Nintendo,0.0,0.0,0.49,0.0,0.49,70.0,14,7.5,11,Nintendo,E
Scarface: The World is Yours,XB,2006,Action,Radical Entertainment,0.37,0.11,0.0,0.02,0.49,76.0,41,8.4,46,Radical Entertainment,M
Resident Evil: The Mercenaries 3D,3DS,2011,Action,Capcom,0.16,0.16,0.13,0.03,0.49,65.0,69,6.4,110,Capcom,M
FIFA Soccer 64,N64,1997,Sports,Electronic Arts,0.16,0.3,0.0,0.03,0.49,75.0,18,7.4,15,Electronic Arts,E
Dreamworks Madagascar Kartz,Wii,2009,Racing,Activision,0.29,0.15,0.0,0.05,0.49,69.0,17,7.4,15,Activision,E
Star Wars Battlefront: Elite Squadron,DS,2009,Shooter,n-Space,0.42,0.03,0.0,0.04,0.49,61.0,12,5.0,8,n-Space,E10+
Epic Mickey: Power of Illusion,3DS,2012,Action,Disney Interactive Studios,0.36,0.04,0.04,0.04,0.49,68.0,22,7.4,20,Disney Interactive Studios,E
Kane & Lynch 2: Dog Days,X360,2010,Shooter,Square Enix,0.2,0.22,0.01,0.05,0.49,73.0,32,7.4,27,Square Enix,E
J-League Pro Soccer Club wo Tsukurou! 2,SAT,1997,Sports,Sega,0.0,0.0,0.49,0.0,0.49,75.0,18,7.4,15,Sega,E
SpongeBob SquarePants: Creature from the Krusty Krab,DS,2006,Platform,WayForward,0.45,0.0,0.0,0.04,0.49,56.0,7,7.3,4,WayForward,E
Backyard Baseball,PS2,2004,Sports,Humongous Entertainment,0.24,0.19,0.0,0.06,0.49,75.0,18,7.2,10,Humongous Entertainment,E
WipEout Pulse,PS2,2009,Racing,Sony Computer Entertainment,0.0,0.15,0.0,0.33,0.49,69.0,17,7.4,15,Sony Computer Entertainment,E
Middle-Earth: Shadow of Mordor,X360,2014,Action,Behaviour Interactive,0.28,0.16,0.0,0.04,0.49,68.0,22,4.6,77,Behaviour Interactive,M
Barbie Horse Adventures: Wild Horse Rescue,PS2,2003,Sports,Blitz Games,0.24,0.19,0.0,0.06,0.49,75.0,18,6.6,10,Blitz Games,E
Pokemon Art Academy ,3DS,2014,Misc,Headstrong Games,0.18,0.12,0.16,0.03,0.49,76.0,22,7.7,19,Headstrong Games,E
Taiko no Tatsujin: Appare Sandaime,PS2,2003,Misc,Namco Bandai Games,0.0,0.0,0.49,0.0,0.49,69.0,17,7.1,13,Namco Bandai Games,E
One Piece: Grand Battle!,PS,2001,Fighting,Atari,0.0,0.0,0.46,0.03,0.49,72.0,25,7.6,24,Atari,E
Sonic & All-Stars Racing Transformed,PS3,2012,Racing,Sega,0.08,0.3,0.01,0.09,0.49,69.0,17,7.4,15,Sega,E
Medal of Honor,PC,2010,Shooter,"Dice, Danger Close",0.2,0.23,0.0,0.06,0.49,72.0,26,6.4,27,"Dice, Danger Close",M
Asphalt 3D,3DS,2011,Racing,Gameloft,0.27,0.16,0.02,0.04,0.49,43.0,37,4.4,24,Gameloft,E10+
"Transformers: Revenge of the Fallen (XBox 360, PS3, & PC Versions)",PS2,2009,Shooter,Activision,0.25,0.01,0.0,0.22,0.49,73.0,32,7.4,27,Activision,E
Crazy Taxi,GC,2001,Racing,Acclaim,0.36,0.09,0.02,0.01,0.49,69.0,20,7.5,21,Acclaim,T
Dragon Ball Z: Burst Limit,X360,2008,Fighting,"Dimps Corporation, Namco Bandai Games",0.24,0.18,0.03,0.05,0.49,72.0,50,7.6,41,"Dimps Corporation, Namco Bandai Games",T
Spy Hunter 2,PS2,2003,Racing,Angel Studios,0.24,0.19,0.0,0.06,0.49,57.0,30,6.4,8,Angel Studios,T
Pac-Man World 2,XB,2002,Action,Namco,0.36,0.11,0.0,0.02,0.49,66.0,7,7.4,20,Namco,E
Die Hard Trilogy 2: Viva Las Vegas,PS,1999,Action,Fox Interactive,0.27,0.18,0.0,0.03,0.49,68.0,22,7.4,20,Fox Interactive,E
Momotarou Dentetsu X: Kyuushuu-hen mo Arubai,PS2,2001,Misc,Hudson Soft,0.0,0.0,0.49,0.0,0.49,69.0,17,7.1,13,Hudson Soft,E
Sniper: Art of Victory,PC,2008,Shooter,City Interactive,0.0,0.45,0.0,0.03,0.49,36.0,7,3.6,16,City Interactive,M
Tales of Legendia,PS2,2005,Role-Playing,Namco,0.07,0.05,0.35,0.02,0.49,72.0,37,7.7,38,Namco,T
SimCity 2000,SNES,1995,Simulation,THQ,0.0,0.0,0.49,0.0,0.49,70.0,17,7.5,19,THQ,E
FIFA Soccer 09,DS,2008,Sports,EA Canada,0.12,0.31,0.0,0.06,0.49,84.0,5,6.1,31,EA Canada,E
Steel Diver,3DS,2011,Action,Nintendo,0.31,0.09,0.05,0.03,0.49,58.0,55,6.3,29,Nintendo,E10+
Bravely Second: End Layer,3DS,2015,Role-Playing,Silicon Studio,0.17,0.1,0.18,0.03,0.49,81.0,70,7.4,103,Silicon Studio,T
Alone in the Dark,X360,2008,Adventure,Eden Studios,0.14,0.3,0.0,0.05,0.48,58.0,53,5.7,162,Eden Studios,M
Football Manager Handheld 2009,PSP,2008,Sports,Sega,0.0,0.47,0.0,0.02,0.48,75.0,18,7.4,15,Sega,E
Puzzle & Dragons Z + Super Mario Bros. Edition,3DS,2015,Puzzle,Nintendo,0.06,0.07,0.34,0.01,0.48,70.0,14,7.5,11,Nintendo,E
Shrek the Third,PS2,2007,Action,Amaze Entertainment,0.4,0.02,0.0,0.07,0.48,56.0,18,6.1,9,Amaze Entertainment,E10+
Madagascar: Operation Penguin,GBA,2005,Action,Vicarious Visions,0.35,0.13,0.0,0.01,0.48,68.0,22,7.4,20,Vicarious Visions,E
Need for Speed: Porsche Unleashed,GBA,2004,Racing,Pocketeers,0.35,0.13,0.0,0.01,0.48,62.0,4,7.8,8,Pocketeers,E
Yu-Gi-Oh! Forbidden Memories (JP sales),PS,1999,Role-Playing,Konami Digital Entertainment,0.0,0.0,0.45,0.03,0.48,74.0,30,7.8,33,Konami Digital Entertainment,E
Far Cry 2,PC,2008,Action,Ubisoft Montreal,0.01,0.45,0.0,0.03,0.48,85.0,34,5.8,20,Ubisoft Montreal,M
NFL Street 2,XB,2004,Sports,EA Tiburon,0.36,0.11,0.0,0.02,0.48,78.0,44,6.5,11,EA Tiburon,E
Millipede,2600,1983,Shooter,Atari,0.45,0.03,0.0,0.01,0.48,73.0,32,7.4,27,Atari,E
The Legend of the Mystical Ninja,SNES,1991,Adventure,Konami Digital Entertainment,0.0,0.0,0.48,0.0,0.48,66.0,17,7.6,14,Konami Digital Entertainment,E
Mad Max (2015),XOne,2015,Action,Warner Bros. Interactive Entertainment,0.28,0.16,0.0,0.04,0.48,68.0,22,7.4,20,Warner Bros. Interactive Entertainment,E
Rock Band Unplugged,PSP,2009,Misc,"Harmonix Music Systems, Backbone Entertainment",0.24,0.14,0.0,0.1,0.48,79.0,50,8.6,31,"Harmonix Music Systems, Backbone Entertainment",T
Ultimate I Spy,Wii,2008,Adventure,"Scholastic, Inc.",0.45,0.0,0.0,0.03,0.48,66.0,17,7.6,14,"Scholastic, Inc.",E
Jeopardy!,PS2,2003,Misc,Atari,0.24,0.18,0.0,0.06,0.48,69.0,17,7.1,13,Atari,E
Destroy All Humans! 2,PS2,2006,Action,THQ,0.4,0.02,0.0,0.07,0.48,68.0,22,7.4,20,THQ,E
Skylanders: SuperChargers,WiiU,2015,Action,Vicarious Visions,0.25,0.19,0.0,0.04,0.48,87.0,13,5.6,65,Vicarious Visions,E10+
ECW Hardcore Revolution,PS,1999,Fighting,Acclaim Entertainment,0.27,0.18,0.0,0.03,0.48,72.0,25,7.6,24,Acclaim Entertainment,E
You're in the Movies,X360,2008,Misc,Zoe Mode,0.27,0.17,0.0,0.05,0.48,55.0,21,5.5,20,Zoe Mode,E
Cars 2,X360,2011,Racing,Disney Interactive Studios,0.28,0.15,0.0,0.05,0.48,69.0,17,7.4,15,Disney Interactive Studios,E
